Species,Age,Sex,Wing,Weight,Tail,Culmen
RT,I,?,385.0,920.0,219,25.7
RT,I,?,381.0,990.0,235,26.7
CH,I,F,265.0,470.0,220,18.7
SS,I,F,205.0,170.0,157,12.5
RT,I,?,412.0,1090.0,230,28.5
RT,I,?,370.0,960.0,212,25.3
RT,A,?,375.0,855.0,243,27.2
RT,A,?,412.0,1210.0,210,29.3
RT,I,?,405.0,1120.0,238,26.0
RT,I,?,393.0,1010.0,222,26.3
RT,I,?,371.0,1010.0,217,25.4
RT,A,?,390.0,1120.0,213,28.9
RT,I,?,416.0,1170.0,243,26.5
RT,A,?,436.0,1390.0,232,30.5
RT,I,?,418.0,1150.0,238,27.1
RT,A,?,381.0,950.0,202,28.9
RT,I,?,378.0,910.0,227,25.7
RT,I,?,396.0,1010.0,227,24.0
RT,I,?,399.0,1070.0,222,26.4
RT,I,?,416.0,1190.0,237,28.8
RT,I,?,415.0,101.0,238,24.9
RT,A,?,392.0,1330.0,213,27.0
RT,I,?,380.0,990.0,211,26.0
RT,I,?,399.0,1100.0,190,26.2
RT,A,?,401.0,1190.0,245,28.6
SS,I,F,205.0,180.0,164,11.7
RT,I,?,427.0,1490.0,246,30.1
RT,A,?,395.0,1040.0,207,27.1
RT,I,?,362.0,820.0,209,24.9
RT,A,?,396.0,1030.0,200,26.0
RT,A,?,391.0,1300.0,215,25.5
RT,A,?,413.0,1500.0,219,26.5
RT,A,?,371.0,1080.0,198,25.3
RT,A,?,385.0,1320.0,207,27.3
RT,A,?,378.0,1490.0,204,25.4
RT,A,?,416.0,1500.0,205,29.1
SS,I,M,193.0,100.0,144,9.3
SS,I,M,171.0,88.0,136,9.7
CH,I,?,233.0,324.0,191,16.0
RT,I,?,384.0,1060.0,230,26.1
RT,I,?,382.0,1140.0,227,25.1
RT,I,?,390.0,1030.0,208,27.6
RT,I,?,390.0,1000.0,231,25.1
RT,I,?,393.0,1050.0,222,28.7
RT,I,?,378.0,1040.0,225,26.2
RT,I,?,398.0,1110.0,225,26.5
RT,I,?,412.0,1300.0,233,27.9
RT,I,?,400.0,980.0,214,25.7
RT,I,?,422.0,1120.0,233,26.4
SS,I,F,202.0,134.0,158,12.4
RT,I,?,394.0,1270.0,245,27.8
RT,I,?,369.0,880.0,210,25.0
CH,I,F,252.0,340.0,230,16.0
CH,A,M,240.0,340.0,192,16.1
RT,I,?,410.0,1255.0,229,29.7
RT,I,?,241.0,1320.0,235,28.6
RT,I,?,408.0,1320.0,221,30.0
RT,I,?,37.2,1180.0,210,20.2
RT,I,?,380.0,760.0,212,24.5
RT,I,?,396.0,1250.0,225,26.6
SS,I,M,158.0,100.0,122,10.8
RT,I,?,416.0,1300.0,235,27.3
CH,I,F,271.0,475.0,232,18.2
SS,A,M,176.0,100.0,133,9.8
RT,A,?,390.0,1080.0,209,30.2
RT,A,?,391.0,1130.0,212,26.4
RT,A,?,387.0,1160.0,209,26.8
RT,I,?,420.0,1345.0,250,29.5
RT,A,?,435.0,1385.0,235,32.6
RT,A,?,400.0,1210.0,222,25.5
RT,I,?,398.0,1455.0,236,28.0
RT,I,?,395.0,1180.0,210,25.0
RT,I,?,410.0,1500.0,239,27.1
RT,I,?,369.0,1025.0,228,27.1
RT,I,?,372.0,930.0,220,26.1
RT,I,?,415.0,1360.0,233,28.6
RT,I,?,412.0,1255.0,236,27.7
SS,I,F,205.0,194.0,155,12.6
SS,I,F,204.0,159.0,152,12.5
SS,I,M,170.0,90.0,135,9.5
CH,A,M,233.0,340.0,186,17.8
RT,I,?,375.0,1065.0,216,25.9
RT,I,?,385.0,1125.0,233,19.6
RT,I,?,422.0,1340.0,248,28.7
RT,I,?,391.0,1050.0,221,26.6
RT,I,?,410.0,1210.0,227,27.5
RT,I,?,385.0,980.0,223,26.8
RT,I,?,381.0,1000.0,219,25.5
RT,A,?,416.0,1390.0,225,28.1
RT,I,?,406.0,1275.0,238,29.0
RT,I,?,418.0,1180.0,235,30.1
RT,I,?,412.0,1210.0,222,29.3
SS,A,F,208.0,168.0,155,12.7
SS,I,F,208.0,146.0,160,11.8
SS,I,M,175.0,108.0,137,10.0
SS,I,M,166.0,94.0,127,9.5
RT,I,?,405.0,1085.0,238,27.7
SS,A,F,198.0,188.0,150,12.2
SS,I,F,200.0,154.0,150,12.4
RT,I,?,380.0,810.0,229,25.9
RT,I,?,381.0,905.0,227,27.9
SS,I,M,169.0,94.0,129,9.0
CH,I,F,260.0,420.0,220,19.6
RT,I,?,428.0,1240.0,245,29.1
RT,I,?,400.0,990.0,223,26.9
CH,I,F,265.0,365.0,224,16.8
SS,I,M,177.0,91.0,133,10.2
RT,I,?,381.0,1010.0,210,25.8
RT,I,?,403.0,980.0,234,26.3
RT,I,?,382.0,860.0,219,26.5
RT,I,?,382.0,970.0,216,25.8
RT,I,?,399.0,980.0,230,27.5
RT,I,?,380.0,985.0,223,23.9
RT,I,?,375.0,990.0,220,25.6
RT,I,?,420.0,1210.0,241,27.8
SS,I,M,170.0,89.0,136,8.6
SS,A,M,177.0,97.0,137,10.0
RT,I,?,375.0,990.0,223,28.0
RT,I,?,395.0,1170.0,238,28.1
SS,A,M,170.0,93.0,126,10.1
RT,I,?,406.0,1350.0,235,30.5
RT,I,?,414.0,1370.0,240,29.3
SS,I,M,173.0,103.0,137,9.7
SS,I,F,209.0,151.0,160,12.2
SS,I,M,177.0,101.0,140,10.3
RT,I,?,388.0,985.0,220,26.9
RT,I,?,277.0,940.0,218,26.5
RT,I,?,423.0,1310.0,234,27.4
RT,I,?,365.0,1035.0,232,26.1
RT,I,?,383.0,965.0,221,26.1
RT,I,?,391.0,1125.0,220,25.4
RT,I,?,389.0,975.0,232,26.4
RT,I,?,392.0,1140.0,214,26.2
RT,I,?,375.0,950.0,225,25.3
RT,I,?,410.0,1210.0,238,28.1
SS,I,M,179.0,95.0,133,10.8
SS,I,M,172.0,89.0,136,9.4
SS,A,F,202.0,195.0,151,12.4
SS,I,M,174.0,93.0,131,9.5
RT,I,?,422.0,1205.0,238,28.8
RT,I,?,385.0,1045.0,229,27.6
RT,I,?,363.0,1090.0,202,26.6
RT,I,?,450.0,1190.0,226,30.3
RT,I,?,380.0,960.0,220,25.6
RT,I,?,385.0,955.0,215,26.3
RT,I,?,385.0,1110.0,122,24.7
SS,I,M,171.0,100.0,134,19.1
RT,I,?,380.0,900.0,215,24.0
RT,I,?,384.0,1075.0,208,26.5
RT,I,?,373.0,980.0,211,27.9
RT,I,?,381.0,940.0,220,27.8
RT,I,?,363.0,1070.0,204,25.6
RT,I,?,409.0,1120.0,229,29.4
RT,A,?,390.0,1060.0,205,27.6
SS,I,F,204.0,168.0,155,12.1
SS,I,F,197.0,211.0,150,11.5
RT,I,?,420.0,1125.0,244,27.2
RT,I,?,381.0,1100.0,225,27.0
RT,I,?,408.0,1360.0,239,30.0
RT,I,?,388.0,995.0,222,26.7
RT,A,?,398.0,1095.0,209,21.1
SS,I,F,209.0,196.0,164,12.1
SS,I,F,209.0,176.0,159,11.7
RT,A,?,394.0,1075.0,211,25.5
SS,A,F,204.0,180.0,160,12.3
SS,I,F,204.0,164.0,157,12.3
SS,I,F,209.0,158.0,160,12.2
RT,I,?,394.0,1140.0,216,26.8
RT,I,?,416.0,1240.0,250,27.9
RT,I,?,445.0,1465.0,260,29.7
SS,I,F,209.0,169.0,164,12.1
RT,I,?,388.0,1105.0,217,26.7
RT,I,?,397.0,1010.0,228,27.1
RT,I,?,384.0,1075.0,218,26.3
RT,I,?,379.0,1060.0,220,27.9
RT,I,?,393.0,1015.0,227,27.6
RT,I,?,386.0,1100.0,211,26.0
RT,I,?,397.0,1010.0,222,25.0
RT,I,?,382.0,1000.0,225,26.3
RT,I,?,386.0,980.0,221,25.4
RT,I,?,417.0,1240.0,231,28.7
RT,I,?,403.0,1360.0,235,27.9
CH,A,M,239.0,183.0,182,17.3
RT,I,?,401.0,1405.0,235,29.1
RT,A,?,377.0,1055.0,200,27.0
RT,A,?,432.0,1670.0,216,27.1
RT,I,?,390.0,1250.0,223,26.2
RT,I,?,381.0,1030.0,210,25.3
SS,I,F,213.0,190.0,160,12.2
SS,I,M,172.0,105.0,125,10.0
RT,I,?,390.0,1090.0,226,26.2
SS,I,F,204.0,190.0,154,11.8
RT,A,?,386.0,1050.0,207,28.4
RT,I,?,402.0,1110.0,238,26.1
SS,I,F,201.0,206.0,151,12.1
SS,I,F,202.0,195.0,158,12.1
RT,A,?,374.0,1010.0,197,24.9
RT,I,?,358.0,880.0,250,24.2
RT,I,?,370.0,1060.0,215,24.3
RT,I,?,390.0,920.0,214,25.7
RT,I,?,398.0,1195.0,230,26.2
RT,I,?,360.0,890.0,213,26.0
RT,I,?,355.0,900.0,214,25.3
RT,A,?,375.0,1110.0,224,22.2
SS,I,F,200.0,160.0,153,10.2
SS,I,M,179.0,105.0,131,10.1
SS,I,M,175.0,99.0,145,9.6
SS,I,F,203.0,165.0,165,12.0
SS,I,F,205.0,100.0,168,12.0
SS,I,F,213.0,125.0,156,11.5
RT,I,?,409.0,1100.0,215,29.0
SS,I,F,195.0,155.0,155,11.9
RT,I,?,415.0,1285.0,239,29.5
CH,A,M,236.0,390.0,185,15.1
RT,I,?,363.0,920.0,214,26.8
RT,I,?,381.0,1025.0,232,25.4
RT,A,?,350.0,940.0,205,26.0
RT,I,?,398.0,1240.0,243,28.5
RT,I,?,412.0,1160.0,255,27.8
SS,I,F,203.0,150.0,159,11.5
SS,I,F,201.0,130.0,156,11.7
RT,I,?,411.0,1240.0,276,26.8
RT,I,?,373.0,930.0,210,24.4
SS,I,M,178.0,90.0,145,10.9
RT,I,?,415.0,1240.0,231,25.6
RT,I,?,383.0,1030.0,216,25.2
CH,I,M,223.0,550.0,210,18.8
RT,I,?,390.0,1250.0,210,26.5
RT,I,?,390.0,999.0,220,25.3
RT,A,?,365.0,1120.0,260,26.5
RT,A,?,345.0,1000.0,200,26.4
CH,I,F,273.0,530.0,213,19.2
RT,I,?,400.0,1040.0,230,27.7
RT,I,?,380.0,1150.0,220,27.8
RT,I,?,330.0,1000.0,220,25.9
RT,I,?,410.0,1360.0,235,33.3
RT,I,?,313.0,930.0,215,25.7
RT,I,?,384.0,980.0,215,25.8
RT,I,?,409.0,1260.0,221,27.7
RT,I,?,390.0,900.0,225,27.5
RT,I,?,411.0,1300.0,238,25.9
CH,I,F,259.0,470.0,221,16.6
RT,A,?,380.0,1040.0,212,26.4
RT,I,?,370.0,950.0,215,27.3
RT,I,?,415.0,1320.0,235,29.4
SS,I,F,215.0,180.0,132,14.1
RT,I,?,410.0,1280.0,229,27.9
RT,I,?,412.0,1310.0,251,26.1
RT,A,?,384.0,910.0,215,26.4
RT,I,?,404.0,1220.0,225,28.6
RT,I,?,375.0,920.0,210,23.8
RT,I,?,410.0,1135.0,267,26.4
RT,I,?,384.0,940.0,220,26.2
RT,I,?,385.0,920.0,238,25.0
RT,I,?,398.0,1280.0,248,28.0
RT,I,?,425.0,1220.0,241,27.3
RT,I,?,401.0,1000.0,212,26.7
RT,I,?,387.0,1120.0,221,26.8
RT,I,?,376.0,925.0,233,26.0
SS,A,M,171.0,90.0,138,9.9
RT,A,?,420.0,1280.0,230,27.5
RT,I,?,385.0,985.0,223,27.5
RT,I,?,405.0,1350.0,226,28.3
RT,I,?,350.0,730.0,208,24.6
RT,I,?,388.0,890.0,231,27.8
RT,I,?,398.0,1020.0,217,26.5
RT,A,?,410.0,1000.0,230,27.1
SS,I,F,202.0,150.0,153,11.7
SS,I,F,204.0,180.0,186,11.5
RT,A,?,382.0,1020.0,225,26.5
RT,I,?,111.0,1340.0,226,26.85
RT,I,?,396.0,1300.0,214,27.3
RT,I,?,363.0,1015.0,242,25.5
RT,I,?,360.0,900.0,220,30.5
RT,I,?,390.0,1000.0,250,26.1
SS,I,M,195.0,150.0,178,12.3
RT,A,?,390.0,1050.0,220,24.8
RT,I,?,380.0,950.0,240,24.9
CH,I,M,225.0,350.0,215,12.6
CH,A,M,247.0,375.0,160,16.9
RT,A,?,415.0,1175.0,230,28.3
RT,I,?,354.0,980.0,220,25.8
RT,A,?,417.0,1260.0,234,29.0
RT,I,?,379.0,1050.0,226,25.9
RT,A,?,412.0,1330.0,218,29.2
RT,A,?,377.0,980.0,209,28.0
RT,I,?,372.0,920.0,228,25.3
RT,I,?,420.0,1540.0,235,29.9
RT,I,?,368.0,1060.0,223,25.5
RT,I,?,406.0,1420.0,245,29.9
CH,I,M,225.0,400.0,202,15.0
RT,I,?,392.0,1142.0,235,27.2
SS,I,F,191.0,157.0,158,12.0
SS,I,M,161.0,98.0,133,10.3
RT,I,?,365.0,813.0,221,26.2
SS,I,M,156.0,94.0,125,9.9
SS,I,F,191.0,155.0,158,16.5
SS,I,F,198.0,181.0,159,12.5
SS,I,M,160.0,92.0,132,9.8
SS,I,M,164.0,98.0,136,10.1
RT,I,?,352.0,1024.0,216,26.6
CH,I,F,265.0,464.0,225,19.2
SS,I,M,163.0,100.0,137,10.4
SS,I,F,193.0,186.0,155,12.8
SS,I,F,190.0,164.0,155,11.9
SS,I,M,165.0,98.0,138,10.1
SS,A,F,198.0,158.0,154,12.1
RT,I,?,370.0,1023.0,216,25.8
RT,I,?,230.0,340.0,200,16.5
CH,I,M,194.0,163.0,158,12.2
SS,I,F,157.0,92.0,132,9.8
SS,I,M,260.0,550.0,215,19.5
CH,A,F,377.0,1119.0,226,25.4
RT,I,?,364.0,917.0,216,26.0
RT,I,?,367.0,946.0,221,26.7
RT,I,?,233.0,337.0,196,15.7
CH,I,M,336.0,742.0,221,23.4
SS,I,F,259.0,439.0,218,18.8
CH,I,F,199.0,187.0,157,12.2
SS,I,F,165.0,92.0,135,9.7
SS,I,M,370.0,1094.0,221,27.3
RT,I,?,362.0,832.0,210,23.8
RT,I,?,368.0,1244.0,220,26.7
RT,I,?,367.0,974.0,221,25.2
RT,I,?,400.0,1289.0,242,28.6
RT,I,?,379.0,999.0,220,28.3
RT,I,?,360.0,994.0,210,26.5
RT,I,?,362.0,1004.0,221,27.0
RT,I,?,378.0,1097.0,236,28.9
SS,I,F,201.0,185.0,162,13.1
SS,I,M,193.0,181.0,150,12.8
RT,I,?,372.0,1092.0,235,27.2
RT,I,?,369.0,1049.0,231,30.1
RT,I,?,354.0,998.0,227,27.2
RT,I,?,367.0,1091.0,238,31.8
RT,I,?,349.0,987.0,225,29.0
RT,I,?,375.0,1151.0,249,34.1
RT,I,?,343.0,971.0,213,25.1
RT,I,?,360.0,1159.0,240,32.9
RT,I,?,395.0,1239.0,231,26.7
RT,I,?,400.0,1216.0,227,28.5
SS,A,F,170.0,177.0,155,12.3
CH,I,F,268.0,469.0,227,20.0
RT,I,?,369.0,1039.0,223,26.9
RT,I,?,365.0,1079.0,228,25.2
RT,A,?,375.0,1159.0,242,33.8
SS,I,M,230.0,162.0,149,12.3
CH,A,M,213.0,339.0,184,23.5
RT,A,?,382.0,1403.0,247,34.9
SS,I,M,168.0,175.0,158,12.9
RT,A,?,478.0,1473.0,267,39.2
RT,I,?,469.0,1001.0,257,29.9
SS,I,M,172.0,98.0,148,8.7
RT,I,?,373.0,914.0,221,25.9
RT,A,?,386.0,1059.0,214,25.5
RT,I,?,384.0,1147.0,229,29.0
RT,I,?,351.0,949.0,213,26.8
SS,I,M,168.0,102.0,138,9.6
RT,I,?,363.0,973.0,213,24.8
SS,I,F,199.0,196.0,158,12.4
CH,I,M,235.0,327.0,193,16.5
RT,A,?,374.0,1064.0,201,26.0
RT,I,?,369.0,749.0,216,24.0
SS,I,F,202.0,201.0,165,11.7
SS,I,F,202.0,180.0,160,12.4
RT,I,?,374.0,1213.0,244,24.9
RT,I,?,389.0,1200.0,230,28.2
RT,I,?,379.0,1040.0,227,25.3
SS,I,M,170.0,113.0,139,10.6
RT,I,?,373.0,919.0,233,24.2
RT,I,?,403.0,1487.0,240,26.0
RT,I,?,400.0,1254.0,237,25.2
SS,A,F,205.0,156.0,144,10.8
RT,I,?,405.0,1189.0,210,27.7
RT,I,?,382.0,979.0,225,24.8
SS,A,M,165.0,96.0,125,10.7
RT,I,?,407.0,1339.0,246,27.3
RT,I,?,403.0,1199.0,225,28.8
RT,I,?,406.0,1344.0,230,27.9
RT,I,?,381.0,969.0,220,26.1
RT,I,?,395.0,1039.0,230,26.0
RT,I,?,410.0,1054.0,233,28.5
CH,A,F,243.0,334.0,196,17.5
SS,I,M,170.0,101.0,135,9.8
SS,A,F,210.0,181.0,170,12.2
RT,A,?,425.0,1449.0,232,30.3
RT,I,?,402.0,985.0,234,26.6
RT,A,?,480.0,1598.0,239,34.2
RT,I,?,412.0,992.0,230,30.1
CH,I,F,260.0,569.0,227,19.1
RT,A,?,381.0,1354.0,213,28.2
RT,A,?,392.0,969.0,207,25.9
RT,I,?,382.0,1080.0,214,25.3
SS,A,F,196.0,185.0,146,12.5
RT,A,?,391.0,1097.0,217,27.9
RT,A,?,397.0,1439.0,216,28.8
RT,I,?,376.0,1019.0,216,25.8
RT,A,?,410.0,1239.0,222,29.5
RT,I,?,381.0,1399.0,288,27.6
RT,I,?,396.0,1169.0,238,27.5
RT,I,?,383.0,1164.0,199,27.0
SS,I,F,203.0,176.0,161,11.5
CH,I,F,255.0,429.0,208,19.0
SS,I,F,196.0,160.0,137,12.3
SS,I,M,168.0,105.0,143,10.2
RT,I,?,392.0,890.0,219,24.1
SS,I,M,163.0,100.0,128,9.7
RT,I,?,395.0,1215.0,236,28.3
SS,I,M,163.0,100.0,131,9.9
RT,I,?,370.0,1030.0,225,27.6
CH,A,M,225.0,340.0,190,15.7
SS,I,F,197.0,165.0,150,11.9
RT,I,?,376.0,985.0,223,26.4
RT,I,?,372.0,975.0,225,26.5
RT,I,?,391.0,1165.0,241,28.2
SS,I,?,165.0,95.0,136,9.7
RT,I,?,364.0,1044.0,210,23.5
SS,A,F,202.0,180.0,160,12.9
SS,I,M,163.0,125.0,135,9.7
RT,I,?,375.0,890.0,219,24.6
RT,I,?,392.0,1105.0,229,26.4
RT,A,?,398.0,1310.0,211,28.3
RT,I,?,371.0,895.0,204,26.8
RT,A,?,367.0,1060.0,204,26.8
SS,A,F,193.0,165.0,146,13.2
RT,A,?,375.0,960.0,214,28.9
RT,I,?,408.0,1270.0,236,29.4
CH,A,F,252.0,540.0,185,20.0
CH,A,M,237.0,365.0,195,17.3
RT,I,?,399.0,1170.0,247,28.3
CH,A,F,268.0,590.0,215,20.0
RT,I,?,388.0,1225.0,227,29.0
SS,A,F,200.0,175.0,155,12.3
SS,I,F,192.0,170.0,159,12.4
SS,A,M,167.0,100.0,132,10.0
RT,I,?,370.0,1060.0,225,26.6
SS,A,M,162.0,110.0,130,10.0
RT,I,?,363.0,850.0,220,25.5
RT,I,?,371.0,1145.0,215,25.5
SS,A,F,199.0,165.0,161,12.5
RT,I,?,386.0,1090.0,226,26.1
RT,I,?,400.0,1345.0,227,32.6
RT,I,?,390.0,1050.0,236,26.6
SS,A,F,199.0,200.0,169,12.5
