Species,Age,Sex,Wing,Weight,Tail,Culmen
CH,A,F,254.0,505.0,212,19.6
RT,A,?,382.0,1040.0,210,27.1
SS,A,F,196.0,155.0,164,12.7
RT,I,?,354.0,965.0,226,26.2
RT,I,?,403.0,1105.0,242,28.9
SS,I,F,194.0,155.0,153,12.6
RT,I,?,375.0,1045.0,221,27.2
RT,I,?,369.0,900.0,220,24.4
RT,I,?,368.0,1015.0,219,25.7
RT,A,?,393.0,1385.0,225,27.9
RT,I,?,370.0,1165.0,221,26.0
RT,I,?,378.0,905.0,215,28.0
RT,I,?,369.0,985.0,223,26.0
RT,I,?,364.0,800.0,219,25.5
RT,I,?,387.0,995.0,235,26.9
RT,A,?,410.0,1460.0,216,29.4
SS,I,F,194.0,165.0,151,11.9
RT,A,?,410.0,1585.0,130,30.6
SS,A,F,194.0,185.0,154,13.1
RT,I,?,373.0,920.0,223,25.0
RT,I,?,390.0,1460.0,221,29.3
RT,A,?,404.0,1315.0,220,30.0
RT,I,?,375.0,1019.0,186,26.0
RT,I,?,395.0,1215.0,217,29.7
RT,I,?,379.0,1005.0,209,27.8
RT,I,?,382.0,1350.0,215,27.9
RT,I,?,404.0,1145.0,214,27.7
SS,A,F,205.0,175.0,169,12.25
RT,A,?,377.0,1010.0,207,25.4
SS,I,M,184.0,155.0,153,12.0
RT,I,?,390.0,1120.0,210,26.6
RT,A,?,404.0,280.0,224,28.2
RT,I,?,351.0,775.0,200,25.4
RT,I,?,394.0,1210.0,207,29.4
SS,A,M,175.0,107.0,137,10.0
RT,A,?,372.0,909.0,212,24.4
SS,I,M,169.0,95.0,132,10.0
RT,I,?,376.0,1145.0,226,25.1
RT,I,?,399.0,1150.0,232,27.2
RT,I,?,399.0,1560.0,228,30.0
RT,I,?,357.0,940.0,205,23.6
SS,I,F,195.0,145.0,155,11.7
RT,I,?,400.0,1089.0,228,27.3
RT,I,?,382.0,1194.0,237,29.4
SS,I,M,161.0,95.0,135,10.1
RT,I,?,390.0,1015.0,230,28.0
RT,I,?,379.0,975.0,219,24.1
RT,I,?,376.0,1035.0,223,26.8
RT,A,?,331.0,1055.0,210,27.0
RT,I,?,371.0,945.0,222,26.1
SS,I,M,160.0,90.0,124,11.0
RT,I,?,361.0,785.0,201,25.2
CH,A,F,268.0,56.0,206,19.3
RT,I,?,394.0,1220.0,234,30.3
SS,A,F,191.0,175.0,149,13.0
RT,A,?,358.0,1025.0,204,27.4
RT,I,?,380.0,1000.0,204,26.9
SS,A,F,188.0,175.0,154,12.1
RT,I,?,397.0,1210.0,224,28.3
SS,A,F,196.0,180.0,150,13.1
SS,A,F,190.0,175.0,147,12.8
SS,I,M,161.0,90.0,130,9.8
CH,A,F,145.0,320.0,180,16.5
RT,I,?,392.0,1185.0,229,28.5
CH,I,M,230.0,350.0,187,16.4
RT,I,?,363.0,950.0,214,24.6
SS,I,M,162.0,85.0,132,10.1
RT,I,?,374.0,895.0,219,26.4
RT,I,?,412.0,1150.0,230,27.8
CH,I,F,272.0,565.0,219,20.7
RT,I,?,388.0,950.0,230,26.5
RT,I,?,371.0,990.0,217,26.9
CH,I,M,225.0,325.0,179,15.8
RT,I,?,391.0,1120.0,225,29.0
SS,I,M,163.0,90.0,123,9.8
RT,I,F,410.0,1120.0,229,28.5
RT,I,?,368.0,820.0,215,25.2
RT,I,F,410.0,1200.0,247,26.7
RT,A,F,425.0,1120.0,222,29.4
RT,I,?,368.0,1120.0,220,24.7
RT,I,?,392.0,1220.0,234,27.3
SS,I,M,250.0,470.0,192,18.9
RT,I,?,418.0,1310.0,248,29.1
RT,I,?,370.0,920.0,221,26.8
SS,A,M,170.0,100.0,132,10.9
SS,A,F,203.0,180.0,162,13.2
RT,A,?,370.0,955.0,218,26.5
RT,A,?,408.0,1225.0,225,28.8
RT,A,?,393.0,1400.0,215,27.9
RT,I,?,365.0,1025.0,225,24.6
RT,I,?,405.0,1140.0,244,28.2
RT,I,?,381.0,1080.0,232,26.1
RT,I,?,390.0,1135.0,238,27.6
RT,I,?,384.0,1430.0,231,29.8
RT,I,?,390.0,1050.0,218,25.6
RT,I,?,381.0,920.0,223,27.0
SS,A,F,194.0,175.0,152,12.4
RT,I,?,371.0,905.0,197,23.6
RT,I,?,356.0,915.0,195,26.4
RT,I,?,377.0,910.0,206,25.0
RT,I,?,362.0,950.0,213,25.4
SS,A,M,165.0,105.0,127,10.1
SS,A,M,155.0,100.0,122,9.3
RT,I,?,400.0,1225.0,222,27.3
SS,A,M,161.0,105.0,124,10.4
RT,I,?,387.0,1090.0,227,27.9
RT,I,?,409.0,1350.0,235,30.0
SS,A,F,195.0,200.0,158,13.0
SS,A,F,196.0,200.0,150,13.5
SS,A,M,169.0,100.0,133,10.0
RT,I,?,385.0,940.0,228,26.2
RT,I,?,377.0,920.0,219,24.7
RT,I,?,400.0,1190.0,231,29.4
SS,I,M,164.0,90.0,127,9.4
SS,A,M,165.0,95.0,127,10.4
RT,I,?,363.0,915.0,209,25.0
CH,A,F,266.0,535.0,223,18.8
RT,I,?,403.0,1310.0,237,29.1
RT,I,?,375.0,950.0,210,26.9
SS,A,M,166.0,120.0,133,10.1
RT,I,?,373.0,975.0,215,26.1
RT,I,?,373.0,990.0,217,27.9
SS,A,M,170.0,110.0,135,11.4
RT,A,?,373.0,1270.0,207,26.5
RT,I,?,354.0,960.0,211,26.0
RT,I,?,394.0,1290.0,225,28.8
SS,I,M,165.0,95.0,131,10.2
CH,A,F,261.0,505.0,203,19.2
RT,I,?,377.0,1045.0,223,26.9
RT,I,?,364.0,1090.0,218,27.1
RT,I,?,385.0,1180.0,222,28.6
RT,I,?,390.0,1195.0,235,27.6
RT,A,?,383.0,1055.0,208,27.7
RT,I,?,365.0,1025.0,216,26.1
SS,I,F,201.0,175.0,157,12.0
RT,I,?,376.0,940.0,217,25.1
RT,A,?,402.0,1335.0,219,28.3
RT,I,?,394.0,1085.0,235,29.4
CH,I,M,223.0,375.0,185,16.2
RT,A,?,378.0,1090.0,212,28.0
RT,I,?,369.0,995.0,211,26.0
RT,A,?,378.0,1090.0,201,28.0
RT,A,?,262.0,1020.0,200,28.0
SS,I,M,165.0,100.0,137,10.6
RT,A,?,379.0,1000.0,217,28.6
RT,I,?,380.0,1085.0,223,27.4
RT,A,?,380.0,1045.0,199,24.9
RT,I,?,393.0,1060.0,217,27.7
RT,A,?,389.0,1135.0,207,27.1
RT,I,?,395.0,1210.0,222,28.5
SS,I,F,207.0,185.0,163,13.0
RT,I,?,367.0,965.0,217,24.8
RT,A,?,368.0,905.0,200,26.8
RT,I,?,377.0,1125.0,220,25.3
RT,I,?,374.0,950.0,216,27.2
RT,A,?,385.0,1195.0,216,27.3
RT,I,?,363.0,1005.0,222,25.0
SS,I,M,164.0,95.0,136,11.4
SS,A,F,199.0,175.0,142,12.3
RT,I,?,378.0,995.0,213,26.2
SS,I,F,200.0,165.0,154,12.1
RT,I,?,405.0,1170.0,226,29.25
SS,I,F,194.0,145.0,156,12.0
SS,I,F,190.0,175.0,160,12.4
SS,I,F,195.0,170.0,149,13.1
SS,I,M,161.0,105.0,131,10.3
SS,I,M,168.0,95.0,137,10.0
SS,I,M,160.0,95.0,126,9.8
RT,I,?,392.0,1085.0,210,31.2
SS,I,F,201.0,165.0,165,12.3
RT,I,?,395.0,1115.0,235,27.4
RT,I,?,390.0,1195.0,222,27.6
SS,I,M,161.0,100.0,129,9.8
CH,A,M,230.0,365.0,192,16.9
SS,I,F,192.0,170.0,156,11.9
SS,I,M,156.0,90.0,135,9.8
SS,I,M,158.0,95.0,129,10.7
SS,I,M,167.0,115.0,131,9.8
SS,I,F,199.0,155.0,160,11.9
CH,I,F,320.0,229.0,195,17.0
RT,A,?,389.0,1165.0,223,29.0
CH,I,M,227.0,155.0,192,17.1
CH,A,M,230.0,340.0,198,16.1
SS,A,F,199.0,180.0,152,12.0
RT,I,?,378.0,235.0,223,25.4
SS,I,M,164.0,105.0,132,10.2
RT,A,?,385.0,1085.0,216,27.5
RT,I,?,369.0,970.0,207,26.1
RT,I,?,378.0,1030.0,218,28.5
RT,I,?,373.0,1015.0,215,25.5
RT,A,?,419.0,1030.0,224,29.2
RT,I,?,414.0,1215.0,242,26.4
SS,A,F,203.0,185.0,157,13.5
SS,A,M,162.0,95.0,119,10.2
SS,I,M,165.0,95.0,130,10.0
SS,A,M,161.0,95.0,124,9.7
SS,I,M,161.0,110.0,130,10.1
RT,I,?,404.0,1170.0,237,28.4
SS,I,M,165.0,105.0,140,10.4
SS,A,F,199.0,175.0,159,12.8
SS,I,M,171.0,95.0,138,10.9
SS,A,F,213.0,190.0,159,13.7
SS,A,M,169.0,105.0,136,10.2
RT,I,?,379.0,1435.0,221,27.4
RT,I,?,407.0,1235.0,243,30.1
RT,I,?,376.0,1055.0,222,29.5
RT,I,?,380.0,1105.0,208,22.0
SS,A,M,172.0,120.0,132,9.8
RT,I,?,408.0,1390.0,245,28.4
SS,A,M,167.0,105.0,131,10.3
RT,A,?,374.0,1080.0,206,26.5
RT,I,?,376.0,910.0,220,26.1
CH,I,F,258.0,490.0,214,18.0
RT,I,?,370.0,845.0,217,25.0
SS,A,F,202.0,175.0,162,13.3
RT,I,?,363.0,865.0,210,25.6
SS,A,F,200.0,180.0,163,11.9
RT,I,?,372.0,2030.0,196,26.2
RT,A,?,378.0,960.0,206,24.6
CH,A,F,254.0,515.0,218,19.5
RT,I,?,361.0,970.0,218,26.3
RT,A,?,389.0,1265.0,210,26.6
RT,A,?,404.0,1300.0,224,29.4
SS,I,F,195.0,170.0,154,12.9
SS,I,F,203.0,191.0,161,13.5
CH,A,F,253.0,540.0,209,19.1
SS,I,F,199.0,185.0,157,12.0
SS,I,F,194.0,165.0,158,11.9
SS,A,F,196.0,205.0,156,12.2
SS,I,M,168.0,95.0,133,10.4
RT,A,?,395.0,1170.0,218,25.8
RT,I,?,368.0,1075.0,213,27.7
SS,I,F,210.0,200.0,165,12.1
RT,I,?,401.0,965.0,235,25.8
RT,I,?,355.0,785.0,206,22.7
RT,A,?,377.0,1095.0,206,25.6
SS,I,F,197.0,160.0,153,12.0
SS,I,M,171.0,95.0,135,9.1
RT,A,?,277.0,1500.0,207,29.7
RT,A,?,435.0,1595.0,230,27.4
RT,I,?,372.0,985.0,224,25.4
CH,A,F,260.0,565.0,216,20.0
RT,I,?,390.0,240.0,218,25.2
RT,I,?,359.0,875.0,215,26.0
RT,I,?,393.0,1225.0,226,29.0
RT,I,?,402.0,1255.0,242,30.6
RT,I,?,362.0,950.0,212,26.8
CH,I,M,227.0,330.0,193,16.0
RT,A,?,359.0,895.0,201,27.5
SS,I,M,155.0,100.0,129,9.8
CH,I,F,261.0,455.0,216,17.1
SS,I,M,160.0,90.0,132,10.3
SS,I,M,166.0,105.0,131,11.3
RT,I,?,362.0,1305.0,234,28.2
RT,I,?,375.0,975.0,220,27.2
RT,I,?,388.0,1185.0,225,28.9
RT,I,?,392.0,1030.0,214,26.1
RT,I,?,412.0,1215.0,230,28.7
RT,I,?,371.0,1075.0,220,26.9
CH,A,F,255.0,960.0,200,19.7
RT,I,?,391.0,795.0,209,24.3
SS,I,F,190.0,180.0,156,12.2
RT,I,?,385.0,1225.0,225,27.8
SS,I,M,166.0,110.0,139,10.0
SS,A,F,197.0,165.0,159,12.2
RT,I,?,370.0,920.0,226,26.3
SS,I,F,190.0,170.0,154,12.0
RT,I,?,400.0,1315.0,230,29.6
SS,I,M,162.0,100.0,131,9.4
SS,I,F,194.0,155.0,156,12.5
RT,I,?,395.0,1155.0,233,29.9
RT,I,?,403.0,1160.0,235,29.0
RT,I,?,386.0,955.0,226,27.9
SS,A,F,193.0,190.0,145,13.1
SS,A,F,203.0,180.0,156,13.8
SS,A,M,159.0,90.0,130,10.0
SS,I,M,163.0,100.0,130,9.8
SS,A,M,191.0,190.0,147,12.4
SS,I,M,166.0,105.0,141,10.3
RT,I,?,361.0,1030.0,231,27.0
CH,A,F,260.0,565.0,205,19.7
CH,A,M,234.0,380.0,192,12.4
RT,I,?,377.0,1040.0,225,28.1
RT,I,?,361.0,910.0,205,24.3
RT,I,?,375.0,1005.0,226,26.0
SS,I,F,193.0,180.0,156,11.9
SS,I,F,196.0,175.0,153,12.4
SS,I,M,159.0,105.0,131,9.8
SS,I,F,192.0,190.0,155,11.8
RT,I,?,401.0,1250.0,230,28.2
SS,I,F,198.0,185.0,165,12.6
RT,I,?,407.0,1275.0,238,27.5
SS,I,M,162.0,105.0,132,9.8
CH,A,F,169.0,640.0,233,16.7
SS,I,M,168.0,100.0,135,10.5
SS,A,M,168.0,105.0,134,10.7
CH,A,M,223.0,390.0,181,15.9
RT,I,?,375.0,1030.0,217,26.9
RT,A,?,406.0,1290.0,227,29.3
RT,I,?,386.0,1020.0,230,26.9
SS,A,M,160.0,105.0,136,9.9
RT,I,?,378.0,1055.0,217,26.5
SS,A,F,193.0,185.0,154,12.3
RT,I,?,379.0,1010.0,216,25.0
RT,I,?,364.0,1015.0,215,24.9
RT,A,?,350.0,1115.0,199,29.5
RT,I,?,380.0,1320.0,210,26.7
RT,A,?,395.0,1180.0,217,30.3
RT,I,?,372.0,1145.0,212,25.9
RT,I,?,376.0,995.0,223,28.0
RT,I,?,367.0,1045.0,215,26.1
CH,I,M,230.0,340.0,196,16.0
RT,I,?,366.0,935.0,218,25.7
RT,I,?,386.0,1065.0,221,26.1
RT,I,?,375.0,1110.0,215,27.7
SS,I,F,199.0,190.0,163,12.0
RT,A,?,405.0,1255.0,218,27.9
RT,A,?,371.0,1015.0,204,24.9
SS,I,F,193.0,190.0,151,12.2
RT,I,?,350.0,960.0,218,26.6
SS,I,F,193.0,200.0,155,11.3
RT,A,?,368.0,1090.0,216,27.3
SS,I,M,185.0,170.0,156,12.0
RT,I,?,372.0,1085.0,220,25.4
RT,I,?,396.0,1065.0,230,27.7
RT,I,?,365.0,1125.0,213,26.9
RT,I,?,374.0,1050.0,220,25.5
CH,I,F,253.0,525.0,213,19.5
RT,I,?,372.0,980.0,215,26.4
RT,I,?,376.0,1180.0,214,24.4
SS,I,M,166.0,115.0,136,9.9
RT,I,?,369.0,1095.0,215,26.6
RT,A,?,391.0,1330.0,217,26.8
SS,I,F,193.0,185.0,158,12.1
RT,A,?,397.0,1100.0,219,22.1
RT,I,?,366.0,1115.0,215,27.1
RT,A,?,385.0,1400.0,211,30.3
RT,I,?,400.0,1175.0,234,27.6
SS,I,F,198.0,185.0,161,11.8
RT,A,?,365.0,970.0,208,25.9
SS,I,F,194.0,170.0,153,11.6
SS,I,F,195.0,175.0,152,12.0
SS,I,F,200.0,165.0,163,11.5
RT,I,?,384.0,1260.0,226,28.6
SS,I,M,159.0,110.0,125,9.9
SS,I,M,161.0,100.0,134,9.3
SS,I,F,191.0,190.0,162,12.3
CH,I,M,216.0,305.0,185,16.0
CH,I,F,256.0,510.0,212,18.8
SS,I,M,161.0,90.0,123,9.5
RT,A,?,396.0,1195.0,228,27.0
RT,I,?,391.0,1035.0,221,27.9
SS,I,M,160.0,90.0,131,8.8
SS,I,M,183.0,160.0,143,12.7
SS,I,M,156.0,85.0,129,9.7
RT,I,?,393.0,1155.0,223,28.3
RT,I,?,397.0,1260.0,232,27.8
SS,I,M,159.0,95.0,125,8.9
CH,I,F,255.0,440.0,214,18.6
SS,I,M,197.0,175.0,150,10.0
CH,I,M,218.0,295.0,183,16.1
SS,I,F,196.0,160.0,158,12.6
RT,I,?,384.0,1010.0,230,26.8
RT,I,?,385.0,990.0,225,26.0
SS,I,M,181.0,150.0,141,11.4
CH,I,M,225.0,300.0,183,16.0
RT,I,?,379.0,945.0,224,24.5
SS,I,F,201.0,188.0,162,11.7
SS,I,M,161.0,95.0,131,10.6
CH,A,M,230.0,330.0,188,15.7
SS,I,M,159.0,95.0,132,9.9
RT,I,?,367.0,970.0,215,26.4
RT,I,?,396.0,1240.0,237,28.9
SS,I,M,157.0,105.0,133,10.0
SS,I,F,191.0,165.0,156,11.5
SS,I,F,191.0,170.0,163,12.1
SS,I,M,168.0,100.0,134,10.2
RT,I,?,428.0,1290.0,253,28.4
CH,A,F,252.0,470.0,211,19.5
SS,A,F,192.0,175.0,160,11.7
SS,A,F,195.0,195.0,158,13.6
CH,A,M,233.0,335.0,187,16.3
RT,A,?,364.0,1150.0,196,26.1
RT,I,?,370.0,960.0,217,25.4
RT,I,?,400.0,1130.0,227,28.3
RT,I,?,375.0,925.0,220,25.4
RT,I,?,398.0,1205.0,227,27.6
RT,I,?,385.0,1040.0,238,27.2
SS,I,M,156.0,100.0,122,9.9
CH,I,M,230.0,335.0,201,16.3
CH,I,M,220.0,335.0,185,16.2
SS,I,M,163.0,105.0,137,10.3
RT,I,?,376.0,860.0,220,25.6
RT,I,?,360.0,935.0,212,25.8
RT,A,?,372.0,1010.0,197,24.3
RT,I,?,400.0,1285.0,230,29.7
SS,A,F,194.0,210.0,147,13.0
RT,I,?,370.0,830.0,233,23.6
SS,I,M,160.0,95.0,135,10.2
RT,I,?,403.0,1350.0,140,28.0
RT,I,?,375.0,1010.0,218,25.0
RT,I,?,373.0,960.0,222,27.7
RT,I,?,385.0,1370.0,233,26.4
SS,I,F,143.0,170.0,159,12.8
SS,I,M,162.0,100.0,136,8.7
RT,I,?,392.0,1250.0,222,28.6
RT,I,?,372.0,915.0,203,24.7
RT,I,?,375.0,850.0,218,25.0
RT,I,?,415.0,1285.0,242,29.4
SS,A,M,161.0,95.0,129,9.8
RT,A,?,380.0,1005.0,205,27.0
RT,A,?,411.0,1220.0,236,28.1
SS,A,M,161.0,95.0,121,9.6
SS,I,M,165.0,100.0,134,9.8
RT,I,?,393.0,1265.0,233,28.3
RT,I,?,370.0,1020.0,211,24.6
CH,A,M,230.0,360.0,186,16.0
RT,I,?,365.0,895.0,217,24.5
RT,I,?,371.0,1160.0,218,25.7
RT,I,?,400.0,1585.0,241,29.0
RT,A,?,382.0,1140.0,218,24.9
RT,A,?,371.0,1115.0,208,25.3
RT,A,?,370.0,1145.0,212,25.4
SS,A,F,194.0,185.0,152,12.8
RT,A,?,347.0,990.0,203,25.3
RT,I,?,363.0,945.0,218,24.5
SS,I,F,195.0,165.0,153,11.7
RT,A,?,392.0,1030.0,196,26.3
CH,I,M,220.0,320.0,184,15.5
SS,I,F,193.0,105.0,156,13.0
RT,I,?,365.0,990.0,217,26.4
RT,A,?,387.0,1065.0,212,28.0
RT,I,?,400.0,1050.0,237,26.1
RT,I,?,362.0,840.0,206,23.2
SS,I,F,198.0,190.0,158,12.2
SS,I,F,190.0,200.0,157,12.7
SS,I,F,197.0,185.0,157,12.8
RT,A,?,370.0,1000.0,201,26.9
SS,I,F,200.0,185.0,158,12.8
RT,A,?,360.0,1325.0,224,26.2
RT,A,?,366.0,945.0,199,25.3
RT,A,?,402.0,1350.0,219,28.7
RT,I,?,366.0,805.0,217,23.5
RT,I,?,380.0,1525.0,224,26.0
SS,I,F,190.0,175.0,150,12.7
RT,I,?,360.0,790.0,211,21.9
RT,I,?,369.0,860.0,207,25.2
RT,A,?,199.0,1290.0,222,28.7
